count,class,tweet,label,prompt
3,1,"@XXXratedLIPSS I always want to speak to ppl I converse with on twitter but they always look at me like ""bitch, Idk you in REAL life.."" smh",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @XXXratedLIPSS I always want to speak to ppl I converse with on twitter but they always look at me like ""bitch, Idk you in REAL life.."" smh </prompt>"
6,2,@1Corinthians126 #HolySpirit God still share HIS #Secrets Amos 3:7 blessings #Jesus,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @1Corinthians126 #HolySpirit God still share HIS #Secrets Amos 3:7 blessings #Jesus </prompt>"
3,2,@FuckKennyJ trash,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @FuckKennyJ trash </prompt>"
3,1,RT @stephanielazox: Hope you got what you wanted bitch.,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @stephanielazox: Hope you got what you wanted bitch. </prompt>"
3,2,RT @Guinness_RAS: @chelsea_elisa tell him that you chose (A) not to trash the environment while trying to save it like a hypocritical douc&#8230;,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @Guinness_RAS: @chelsea_elisa tell him that you chose (A) not to trash the environment while trying to save it like a hypocritical douc&#8230; </prompt>"
3,1,@goldnsilvercoin @TheOregonianBoo @RepBonamici God forbid! She actually voted to give people affordable insurance rates. That bitch #teabag,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @goldnsilvercoin @TheOregonianBoo @RepBonamici God forbid! She actually voted to give people affordable insurance rates. That bitch #teabag </prompt>"
3,1,Almost got in a fight with a southwest faggot at the carnival lol,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Almost got in a fight with a southwest faggot at the carnival lol </prompt>"
3,2,#Yankees Pineda needed that 6'7. Great play!,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: #Yankees Pineda needed that 6'7. Great play! </prompt>"
3,0,RT @ajade___: everybody tryna fuck the next nigga bitch not knowin that his bitch is the next nigga bitch &#128586;&#128566;,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @ajade___: everybody tryna fuck the next nigga bitch not knowin that his bitch is the next nigga bitch &#128586;&#128566; </prompt>"
3,0,#Dutch people who live outside of #NewYorkCity are all white trash.,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: #Dutch people who live outside of #NewYorkCity are all white trash. </prompt>"
3,2,@jessicacassell1 find a new hillbilly!! #spiritweek!!,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @jessicacassell1 find a new hillbilly!! #spiritweek!! </prompt>"
3,1,Reading the ut sexual assault case takes me back 2 college.I'll never forget D Walk would say dont run trains on them hoes.Straight Trouble,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Reading the ut sexual assault case takes me back 2 college.I'll never forget D Walk would say dont run trains on them hoes.Straight Trouble </prompt>"
3,1,Broke bitches make me sick,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Broke bitches make me sick </prompt>"
3,1,"Almost everyone I met in #Paris was absolute trash. And if they support a republican government, I hope they fucking die.",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Almost everyone I met in #Paris was absolute trash. And if they support a republican government, I hope they fucking die. </prompt>"
3,2,"So my light was off &amp; door was closed , mom walks in turn lights on . Tells me to take trash out in the morning . then walked out.. Light on",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: So my light was off &amp; door was closed , mom walks in turn lights on . Tells me to take trash out in the morning . then walked out.. Light on </prompt>"
3,2,Just saw a crow gallop across the road. #mmkay #wut &#128514;,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Just saw a crow gallop across the road. #mmkay #wut &#128514; </prompt>"
3,1,@stonethegreat23 niqqa that's every white person just because some might seem down to earth don't mean there not gonna use nigger against us,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @stonethegreat23 niqqa that's every white person just because some might seem down to earth don't mean there not gonna use nigger against us </prompt>"
3,2,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: ""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;"" </prompt>"
3,2,Up like an eagle tryna catch the early bird that catches the worm.,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Up like an eagle tryna catch the early bird that catches the worm. </prompt>"
3,1,RT @maya_hampton: i really do get excited to see my bad bitch association in lunch everyday they always make me laugh,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @maya_hampton: i really do get excited to see my bad bitch association in lunch everyday they always make me laugh </prompt>"
3,2,They took it there bro you know I'm civil. RT @lilmissStoney: @VikkiNoSecrets wait a minute! Lol. Don't get ghetto V!,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: They took it there bro you know I'm civil. RT @lilmissStoney: @VikkiNoSecrets wait a minute! Lol. Don't get ghetto V! </prompt>"
3,1,RT @ayoooitsjelly: some niggas act like straight up bitches,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @ayoooitsjelly: some niggas act like straight up bitches </prompt>"
3,1,"I don't chase no bitches, just chase my #dreams",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: I don't chase no bitches, just chase my #dreams </prompt>"
3,0,I like Chinese buffets but I hate all the chinks,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: I like Chinese buffets but I hate all the chinks </prompt>"
3,2,Gorgeous RT@EmrgencyKittens: Calico Maine coon cat http://t.co/jalyL7h60f,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Gorgeous RT@EmrgencyKittens: Calico Maine coon cat http://t.co/jalyL7h60f </prompt>"
6,2,"@LandRoverUSA Our ""Disco"" we used for disaster recovery was an awesome brownie points to how well built they are. Most extreme conditions!",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @LandRoverUSA Our ""Disco"" we used for disaster recovery was an awesome brownie points to how well built they are. Most extreme conditions! </prompt>"
3,2,*waits for Fanduel to hit me with the jig*,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: *waits for Fanduel to hit me with the jig* </prompt>"
3,1,RT @SomeoneBelow: The person below is a cunt.,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @SomeoneBelow: The person below is a cunt. </prompt>"
3,1,"RT @moneychaserr_: ""@vintage_monroe_: &#8220;@PussyBeezus_: Kim always being nasty. 
Pussy hungry bitch &#128514;&#8221;look at me never hungry http://t.co/zRN&#8230;",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @moneychaserr_: ""@vintage_monroe_: &#8220;@PussyBeezus_: Kim always being nasty. 
Pussy hungry bitch &#128514;&#8221;look at me never hungry http://t.co/zRN&#8230; </prompt>"
3,2,RT @TideRecruits101: It's ok to trash talk....but I haven't seen any Bama fans wishing harm or injury towards LSU players.,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @TideRecruits101: It's ok to trash talk....but I haven't seen any Bama fans wishing harm or injury towards LSU players. </prompt>"
3,1,RT @VictorSmith90: @vnksmith16 be out here fighting bitches like its legal,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @VictorSmith90: @vnksmith16 be out here fighting bitches like its legal </prompt>"
3,2,RT @iDntWearCondoms: If u acted like a hoe after we broke up I'm not wrong for thinking u were a hoe all along,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @iDntWearCondoms: If u acted like a hoe after we broke up I'm not wrong for thinking u were a hoe all along </prompt>"
3,1,"RT @SarahR_82: I had these cute little pet names for my ex, like ass monkey, douchetard &amp; butterball. I just dont know where that re ...",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @SarahR_82: I had these cute little pet names for my ex, like ass monkey, douchetard &amp; butterball. I just dont know where that re ... </prompt>"
3,1,@nicole_steines whatever you fucking pussy &#128514;,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @nicole_steines whatever you fucking pussy &#128514; </prompt>"
3,2,RT @Kstar__: Told you RT @Astronaut_Tone: Artprize is more than trash,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @Kstar__: Told you RT @Astronaut_Tone: Artprize is more than trash </prompt>"
3,2,RT @TeamGladney: Did the Yankees make the playoffs and properly honor Jeter? RT @80sbaby4life: Orioles win?,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @TeamGladney: Did the Yankees make the playoffs and properly honor Jeter? RT @80sbaby4life: Orioles win? </prompt>"
3,1,RT @Males_Thoughts: No bitch ass chick flick will ever be as sad as this movie http://t.co/o0sk0SM40f,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @Males_Thoughts: No bitch ass chick flick will ever be as sad as this movie http://t.co/o0sk0SM40f </prompt>"
3,1,RT @Adogg_34: @viva_based stealing a car and fuckin yo bitch,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @Adogg_34: @viva_based stealing a car and fuckin yo bitch </prompt>"
3,2,@ThatGuyNorman @migue_pantoja trash,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @ThatGuyNorman @migue_pantoja trash </prompt>"
3,1,Photo: My mains @riri22barbie @georgegia yessssss #ladykimora turntup. #vegas bitches &#128525;&#128525; http://t.co/QecHHKO42q,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Photo: My mains @riri22barbie @georgegia yessssss #ladykimora turntup. #vegas bitches &#128525;&#128525; http://t.co/QecHHKO42q </prompt>"
3,2,"RT @TayTheBADDIE: Never discuss cheese with a rat , talk bread with a bird , or make moves with a snake &#128175;&#128076;",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @TayTheBADDIE: Never discuss cheese with a rat , talk bread with a bird , or make moves with a snake &#128175;&#128076; </prompt>"
3,1,Apparently not wanting to trade your Nitro M4 in CSGO makes you a collossal faggot.,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Apparently not wanting to trade your Nitro M4 in CSGO makes you a collossal faggot. </prompt>"
3,2,I couldn't press send. That tweet about anchor babies was even too raw for me.,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: I couldn't press send. That tweet about anchor babies was even too raw for me. </prompt>"
3,1,@DerringerEagle ur moms pussy died a slow death so well have good company #virgin,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @DerringerEagle ur moms pussy died a slow death so well have good company #virgin </prompt>"
3,1,&#8220;@_mahoganylov3 Right RT @KingDominicus: Idk which one was selling pussy for $65 but that&#8217;s way too high for them http://t.co/jSDmSuCDm0&#8221;hm,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: &#8220;@_mahoganylov3 Right RT @KingDominicus: Idk which one was selling pussy for $65 but that&#8217;s way too high for them http://t.co/jSDmSuCDm0&#8221;hm </prompt>"
6,1,RT @realist_iLLest: &#8220;@187XO_: Before I run from a niggah I'll lose the fight&#8221;,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @realist_iLLest: &#8220;@187XO_: Before I run from a niggah I'll lose the fight&#8221; </prompt>"
3,2,"RT @OpWarriorTeam: Hi ho, hi ho, it's off to work we go! It's #MilitaryMonday...support a military organization today. http://t.co/9DV04wk&#8230;",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @OpWarriorTeam: Hi ho, hi ho, it's off to work we go! It's #MilitaryMonday...support a military organization today. http://t.co/9DV04wk&#8230; </prompt>"
3,1,@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight. </prompt>"
3,2,My nips are cold &#128563;,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: My nips are cold &#128563; </prompt>"
3,2,"RT @proofgelato: Sweet treat at lunch today - raspberry gelato, gin+juice sorbet &amp; brownie gelato! #GelatoCart Thursday - can't wait ...",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @proofgelato: Sweet treat at lunch today - raspberry gelato, gin+juice sorbet &amp; brownie gelato! #GelatoCart Thursday - can't wait ... </prompt>"
3,1,This hoe got a gf but complain about life like is she hitting you right ?,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: This hoe got a gf but complain about life like is she hitting you right ? </prompt>"
3,1,RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now </prompt>"
3,1,"RT @MikeDiggEm: ""@BadGalTitii: When I see a girl wit her nigga, I be like bitch bet I can snatch from you but I ain't even gone do it. Lol""&#8230;",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @MikeDiggEm: ""@BadGalTitii: When I see a girl wit her nigga, I be like bitch bet I can snatch from you but I ain't even gone do it. Lol""&#8230; </prompt>"
3,1,RT @NeskorikKenneth: Since you couldn't keep my dick outa your mouth at least keep my name out of it. Y'all some hoes for real.,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @NeskorikKenneth: Since you couldn't keep my dick outa your mouth at least keep my name out of it. Y'all some hoes for real. </prompt>"
3,2,Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs!,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Real talk not being byes or nothin! The whole NFC south glad bag trash this year none of the teams have a chance making it to the playoffs! </prompt>"
3,1,This lit bitch jayonna in the class im an aide in is SOOO FUNNY,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: This lit bitch jayonna in the class im an aide in is SOOO FUNNY </prompt>"
6,1,"@marissarose_10 
Your mouth
Your pussy
Your ass
My dick
And a sandwich after we fuck.
What kinda question is that?",0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @marissarose_10 
Your mouth
Your pussy
Your ass
My dick
And a sandwich after we fuck.
What kinda question is that? </prompt>"
3,2,@AmazinMixBeauti don't feel like reading right now I wanna give a sexy coolie girl some lyrics via text message ;-),1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @AmazinMixBeauti don't feel like reading right now I wanna give a sexy coolie girl some lyrics via text message ;-) </prompt>"
3,1,@neeishaaa one thing about it baby I will NEVER Call a bitch phone bout a nigga. Ion know what app somebody playing with but it AINT ME,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @neeishaaa one thing about it baby I will NEVER Call a bitch phone bout a nigga. Ion know what app somebody playing with but it AINT ME </prompt>"
3,1,hoes even stupider,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: hoes even stupider </prompt>"
3,1,@trix2343 I have something that you don't bitch. Always remember that.,0,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @trix2343 I have something that you don't bitch. Always remember that. </prompt>"
3,2,&#8220;@theellemac: Essence Fest anyone?&#8221; I'll be there on the main stage 2 stepping with Uncle Charlie,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: &#8220;@theellemac: Essence Fest anyone?&#8221; I'll be there on the main stage 2 stepping with Uncle Charlie </prompt>"
3,2,"@Selecta_kerry I seeing ppl saying running a train on a bird, and a parry is the same thing, but das not what I know..so looking for clarity",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @Selecta_kerry I seeing ppl saying running a train on a bird, and a parry is the same thing, but das not what I know..so looking for clarity </prompt>"
3,2,Jones and Iba&#241;ez are out of gas after giving it their all earlier in the first half. The call-ups should get more playing time #Yankees #MLB,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Jones and Iba&#241;ez are out of gas after giving it their all earlier in the first half. The call-ups should get more playing time #Yankees #MLB </prompt>"
3,2,"RT @BobKlap: Asked Betances before the game if he&#8217;d like to be a starter again someday. &#8220;If the Yankees ever asked me, I would. But I&#8217;m a r&#8230;",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @BobKlap: Asked Betances before the game if he&#8217;d like to be a starter again someday. &#8220;If the Yankees ever asked me, I would. But I&#8217;m a r&#8230; </prompt>"
3,2,"RT @sickipedia: I drove my daughter's guinea pig to the vet's this morning. 

I'm quite handy with my new Callaway golf clubs.

#sickipedia",1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: RT @sickipedia: I drove my daughter's guinea pig to the vet's this morning. 

I'm quite handy with my new Callaway golf clubs.

#sickipedia </prompt>"
3,2,@christianvansly haha I'm shocked barca got more yellow cards this time,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: @christianvansly haha I'm shocked barca got more yellow cards this time </prompt>"
3,2,Is Hillary the &#8216;dodo bird&#8217; candidate? http://t.co/YfUbgwQ4tw via @worldnetdaily,1,"[INST] In this task, you will be performing a classification exercise aimed at identifying whether the given text contains hate speech or not. Consider the text: Is Hillary the &#8216;dodo bird&#8217; candidate? http://t.co/YfUbgwQ4tw via @worldnetdaily </prompt>"
